step,spectral_efficiency_bps_hz,throughput_bits,total_queue_bits,ric_latency_ms,reward
407,3.860366,38603.66,43563846.51,0.157472,34247.28
408,2.790751,27907.51,43712547.00,0.158364,23536.25
409,12.367793,123677.93,43765397.07,0.154890,119301.39
410,4.140202,41402.02,43900811.05,0.156197,37011.94
411,1.830656,18306.56,44058664.49,0.152732,13900.69
412,7.178724,71787.24,44163197.25,0.154263,67370.92
413,8.044983,80449.83,44258179.42,0.153902,76024.01
414,12.822045,128220.45,44304614.97,0.195836,123789.99
415,9.090109,90901.09,44389345.88,0.156680,86462.16
416,6.957316,69573.16,44496260.72,0.153979,65123.53
417,8.270189,82701.89,44588150.83,0.154541,78243.08
418,8.684891,86848.91,44677613.92,0.156846,82381.15
419,7.295288,72952.88,44780717.04,0.153735,68474.81
420,5.964705,59647.05,44898165.99,0.156772,55157.23
421,9.838338,98383.38,44975422.61,0.158674,93885.84
422,5.306604,53066.04,45099924.57,0.201712,48556.05
423,4.053555,40535.55,45237405.01,0.157007,36011.81
424,6.416562,64165.62,45348063.39,0.155594,59630.81
425,6.029334,60293.34,45462074.05,0.154654,55747.13
426,2.997726,29977.26,45604928.79,0.152974,25416.77
427,9.979020,99790.20,45680002.59,0.153587,95222.20
428,7.316025,73160.25,45781986.34,0.155463,68582.05
429,5.631918,56319.18,45903659.16,0.151851,51728.81
430,6.921599,69215.99,46010203.17,0.153821,64614.97
431,4.363830,43638.30,46142908.87,0.153173,39024.01
432,9.325036,93250.36,46224570.52,0.156244,88627.90
433,1.939891,19398.91,46380643.60,0.152829,14760.85
434,3.930732,39307.32,46517072.28,0.155917,34655.61
435,5.773189,57731.89,46634308.39,0.154336,53068.46
436,6.725656,67256.56,46744291.83,0.154428,62582.13
437,10.912806,109128.06,46812107.77,0.153381,104446.85
438,5.819279,58192.79,46931746.98,0.155909,53499.62
439,11.319225,113192.25,46995106.73,0.153944,108492.74
440,10.891907,108919.07,47063611.66,0.154462,104212.71
441,11.563291,115632.91,47126298.75,0.156859,110920.28
442,7.809899,78098.99,47222455.76,0.343506,73376.75
443,3.627728,36277.28,47363370.48,0.154805,31540.94
444,3.473549,34735.49,47505418.99,0.154240,29984.95
445,8.939259,89392.59,47592018.40,0.153484,84633.39
446,10.746711,107467.11,47660959.29,0.154867,102701.02
447,7.587667,75876.67,47759546.61,0.153783,71100.72
448,5.759345,57593.45,47877377.16,0.152728,52805.72
449,5.073512,50735.12,48003258.04,0.151786,45934.79
450,5.308033,53080.33,48123849.71,0.155244,48267.94
451,7.840160,78401.60,48222344.11,0.154975,73579.37
452,9.429806,94298.06,48306326.06,0.154531,89467.42
453,2.529036,25290.36,48455939.70,0.153858,20444.77
454,8.113716,81137.16,48549858.54,0.154707,76282.17
455,6.729915,67299.15,48659919.39,0.194811,62433.16
456,3.387877,33878.77,48801752.62,0.161043,28998.60
457,9.752319,97523.19,48878405.43,0.156608,92635.35
458,2.035953,20359.53,49033405.90,0.161538,15456.19
459,3.336696,33366.96,49174670.94,0.159607,28449.49
460,6.568859,65688.59,49285734.35,0.252231,60760.02
461,5.942420,59424.20,49400254.15,0.156150,54484.18
462,7.318879,73188.79,49502553.36,0.155475,68238.53
463,11.705565,117055.65,49562721.72,0.153711,112099.37
464,5.075844,50758.44,49688523.28,0.153741,45789.59
465,4.014306,40143.06,49824564.22,0.155241,35160.60
466,2.342612,23426.12,49975178.10,0.157366,18428.60
467,4.121140,41211.40,50109662.70,0.154914,36200.43
468,4.422417,44224.17,50240390.53,0.153776,39200.13
469,9.252343,92523.43,50324371.10,0.152891,87490.99
470,4.147172,41471.72,50458547.38,0.154154,36425.86
471,9.914109,99141.09,50535246.29,0.153660,94087.57
472,4.053494,40534.94,50671447.35,0.153503,35467.79
473,11.518351,115183.51,50730551.84,0.153623,110110.45
474,2.769515,27695.15,50879480.70,0.152873,22607.20
475,7.174782,71747.82,50985252.88,0.156331,66649.29
476,13.841214,138412.14,51021968.74,0.169766,133309.94
477,5.623221,56232.21,51143216.53,0.156406,51117.89
478,5.786107,57861.07,51260835.46,0.155794,52734.99
479,1.438323,14383.23,51422852.23,0.152913,9240.94
480,3.359774,33597.74,51563206.49,0.154774,28441.42
481,12.668046,126680.46,51611406.03,0.152237,121519.32
482,7.753407,77534.07,51710919.96,0.154125,72362.98
483,5.658882,56588.82,51830171.14,0.154656,51405.81
484,5.419819,54198.19,51951308.95,0.155052,49003.06
485,4.736608,47366.08,52081382.87,0.152479,42157.94
486,7.914433,79144.33,52177902.53,0.155141,73926.54
487,6.928207,69282.07,52283484.47,0.154642,64053.72
488,5.274098,52740.98,52405823.49,0.155084,47500.40
489,8.096277,80962.77,52501884.71,0.154164,75712.58
490,1.991430,19914.30,52656754.41,0.159904,14648.62
